"Age","Date"
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
1,2008
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
2,2007
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
3,2006
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
4,2005
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
5,2004
6,2003
6,2003
6,2003
6,2003
6,2003
6,2003
6,2003
6,2003
6,2003
6,2003
6,2003
6,2003
6,2003
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
7,2002
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
8,2001
9,2000
9,2000
9,2000
9,2000
9,2000
9,2000
9,2000
9,2000
9,2000
9,2000
9,2000
9,2000
9,2000
10,1999
10,1999
10,1999
10,1999
10,1999
10,1999
10,1999
10,1999
10,1999
10,1999
10,1999
10,1999
11,1998
11,1998
11,1998
11,1998
11,1998
11,1998
11,1998
11,1998
12,1997
12,1997
12,1997
12,1997
12,1997
12,1997
12,1997
12,1997
12,1997
13,1996
13,1996
13,1996
13,1996
13,1996
13,1996
13,1996
13,1996
13,1996
14,1995
14,1995
14,1995
14,1995
14,1995
14,1995
14,1995
15,1994
15,1994
15,1994
15,1994
15,1994
15,1994
16,1993
16,1993
16,1993
16,1993
16,1993
17,1992
17,1992
17,1992
17,1992
17,1992
18,1991
18,1991
18,1991
18,1991
18,1991
18,1991
19,1990
19,1990
18,1991
18,1991
20,1989
29,1980
29,1980
20,1989
29,1980
20,1989
21,1988
21,1988
21,1988
21,1988
21,1988
22,1987
22,1987
22,1987
22,1987
23,1986
23,1986
23,1986
23,1986
24,1985
24,1985
24,1985
24,1985
25,1984
25,1984
25,1984
25,1984
26,1983
26,1983
26,1983
27,1982
27,1982
27,1982
28,1981
28,1981
28,1981
29,1980
29,1980
30,1979
39,1970
31,1978
31,1978
32,1977
33,1976
20,1989
20,1989
21,1988
2,2007
21,1988
21,1988
22,1987
23,1986
23,1986
24,1985
24,1985
25,1984
26,1983
20,1989
20,1989
15,1994
15,1994
16,1993
16,1993
21,1988
22,1987
17,1992
1,2008
7,2002
8,2001
9,2000
10,1999
10,1999
2,2007
3,2006
4,2005
5,2004
6,2003
7,2002
8,2001
9,2000
10,1999
11,1998
12,1997
13,1996
14,1995
15,1994
16,1993
16,1993
17,1992
18,1991
19,1990
20,1989
21,1988
22,1987
23,1986
21,1988
17,1992
16,1993
7,2002
7,2002
5,2004
5,2004
13,1996
12,1997
11,1998
